page_url,query,clicks_current,clicks_previous,impressions,avg_position,sessions,conversions,revenue,ctr,conversion_rate,traffic_decay_pct,recommended_action
https://mysite.com/blog/page-46,keyword choice 46,2662,1589,86981,21.21345648886277,5981,143,4068.98,0.0306,0.0239,0.6753,Monitor / Maintain
https://mysite.com/blog/page-47,keyword choice 47,1413,2098,61713,21.37203843562617,6765,116,3423.66,0.0229,0.0171,-0.3265,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-48,keyword choice 48,1528,5652,31306,11.4252433853729,5977,68,813.08,0.0488,0.0114,-0.7297,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-49,keyword choice 49,2606,3362,17646,9.514163483670307,7367,98,4554.64,0.1477,0.0133,-0.2249,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-50,keyword choice 50,825,2297,47843,24.47147350887689,2949,139,4112.69,0.0172,0.0471,-0.6408,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-51,keyword choice 51,4064,5564,97601,24.49328844569624,3351,24,4749.0,0.0416,0.0072,-0.2696,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-52,keyword choice 52,84,5556,91735,26.14509723882301,7490,122,3628.6,0.0009,0.0163,-0.9849,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-53,keyword choice 53,3202,1366,17371,27.483976024137668,7005,52,3067.08,0.1843,0.0074,1.3441,Fix UX / CRO Opportunity
https://mysite.com/blog/page-54,keyword choice 54,2005,4089,78371,15.828929566967195,3830,143,2091.22,0.0256,0.0373,-0.5097,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-55,keyword choice 55,1635,2735,3049,15.543972545928789,2589,56,4663.64,0.5362,0.0216,-0.4022,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-56,keyword choice 56,3993,5128,32616,24.15056019003648,1731,38,4330.32,0.1224,0.022,-0.2213,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-57,keyword choice 57,3123,5924,21932,19.848953992555188,2916,108,226.09,0.1424,0.037,-0.4728,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-58,keyword choice 58,1071,1342,30855,21.3570394404734,1115,41,131.83,0.0347,0.0368,-0.2019,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-59,keyword choice 59,3511,769,62434,24.07798741364693,1448,141,1882.32,0.0562,0.0974,3.5657,Monitor / Maintain
https://mysite.com/blog/page-60,keyword choice 60,2663,5635,73694,26.81015491270942,4711,121,4052.77,0.0361,0.0257,-0.5274,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-61,keyword choice 61,3893,5590,44016,10.80185954869454,3187,132,4936.38,0.0884,0.0414,-0.3036,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-62,keyword choice 62,1550,4804,8400,11.891905626558376,2939,74,752.08,0.1845,0.0252,-0.6774,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-63,keyword choice 63,4848,4473,43642,3.725476255385201,435,145,2970.65,0.1111,0.3333,0.0838,Monitor / Maintain
https://mysite.com/blog/page-64,keyword choice 64,211,3808,16151,17.770124088889045,5978,75,1904.45,0.0131,0.0125,-0.9446,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-65,keyword choice 65,4347,5413,52407,2.0423259401055205,6501,8,4849.57,0.0829,0.0012,-0.1969,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-66,keyword choice 66,2031,4839,67690,14.502342525841344,4692,73,4210.59,0.03,0.0156,-0.5803,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-67,keyword choice 67,1045,723,5499,16.736694406519725,995,144,4191.64,0.19,0.1447,0.4454,Monitor / Maintain
https://mysite.com/blog/page-68,keyword choice 68,4961,2058,7295,9.309696311720248,6403,6,2343.47,0.6801,0.0009,1.4106,Optimize Metadata / On-Page (Striking Distance)
https://mysite.com/blog/page-69,keyword choice 69,3392,3505,60040,18.13416455650131,3646,140,2074.1,0.0565,0.0384,-0.0322,Monitor / Maintain
https://mysite.com/blog/page-70,keyword choice 70,4601,3803,13183,1.8845072482324332,951,136,1367.04,0.349,0.143,0.2098,Monitor / Maintain
https://mysite.com/blog/page-71,keyword choice 71,3848,5787,30299,2.083097473727218,1787,26,281.88,0.127,0.0145,-0.3351,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-72,keyword choice 72,1325,1555,13874,24.855416259130088,2031,121,4323.61,0.0955,0.0596,-0.1479,Monitor / Maintain
https://mysite.com/blog/page-73,keyword choice 73,1066,3364,33711,11.445528600926623,6933,4,4064.51,0.0316,0.0006,-0.6831,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-74,keyword choice 74,387,3823,6539,4.684754866904658,3846,28,4998.59,0.0592,0.0073,-0.8988,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-75,keyword choice 75,928,5292,54351,16.145054541589325,2527,82,4983.18,0.0171,0.0324,-0.8246,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-76,keyword choice 76,1126,1913,62267,23.329813039859715,1668,135,2777.16,0.0181,0.0809,-0.4114,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-77,keyword choice 77,4937,5676,49354,7.258809797408452,4100,108,3844.94,0.1,0.0263,-0.1302,Optimize Metadata / On-Page (Striking Distance)
https://mysite.com/blog/page-78,keyword choice 78,4043,4719,3557,19.06382379875101,5152,64,4723.83,1.1366,0.0124,-0.1433,Monitor / Maintain
https://mysite.com/blog/page-79,keyword choice 79,4909,1351,39360,3.475076484819272,2838,85,4248.24,0.1247,0.03,2.6336,Monitor / Maintain
https://mysite.com/blog/page-80,keyword choice 80,429,3641,83018,2.4987699138896238,3598,144,1236.74,0.0052,0.04,-0.8822,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-81,keyword choice 81,542,3517,3200,16.40928431547629,5832,70,2252.72,0.1694,0.012,-0.8459,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-82,keyword choice 82,2112,1696,69497,16.67841852669309,5487,44,645.8,0.0304,0.008,0.2453,Fix UX / CRO Opportunity
https://mysite.com/blog/page-83,keyword choice 83,3934,3756,47975,19.48546714344799,7844,131,4770.26,0.082,0.0167,0.0474,Monitor / Maintain
https://mysite.com/blog/page-84,keyword choice 84,114,3059,22357,22.056648677957185,5636,35,3030.87,0.0051,0.0062,-0.9627,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-85,keyword choice 85,2618,3212,78505,29.299710304413505,5387,69,1143.21,0.0333,0.0128,-0.1849,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-86,keyword choice 86,2077,758,3869,15.972710100734664,4013,18,3358.5,0.5368,0.0045,1.7401,Fix UX / CRO Opportunity
https://mysite.com/blog/page-87,keyword choice 87,2745,2220,62135,10.365737715296133,1166,107,3090.64,0.0442,0.0918,0.2365,Optimize Metadata / On-Page (Striking Distance)
https://mysite.com/blog/page-88,keyword choice 88,1545,4157,51108,24.060399648292407,7823,90,1790.81,0.0302,0.0115,-0.6283,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-89,keyword choice 89,441,4797,95179,8.854135286600153,4480,89,567.79,0.0046,0.0199,-0.9081,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-90,keyword choice 90,4564,5745,91272,13.730171200463449,2544,18,3357.87,0.05,0.0071,-0.2056,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-91,keyword choice 91,4524,914,39467,3.2752350589257127,4207,38,2601.54,0.1146,0.009,3.9497,Fix UX / CRO Opportunity
https://mysite.com/blog/page-92,keyword choice 92,3611,5915,24328,1.735171559048268,5826,125,3861.59,0.1484,0.0215,-0.3895,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-93,keyword choice 93,2328,3534,92412,28.916804025659825,3473,140,2600.82,0.0252,0.0403,-0.3413,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-94,keyword choice 94,3149,5817,87831,25.243423494853968,4069,125,4260.91,0.0359,0.0307,-0.4587,Urgent Content Refresh (Traffic Decay)
